medicine,toxicity_level,disposal,compost_safe,warnings
Diclofenac 250mg,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Diclofenac 500mg,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac Oral,High,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Diclofenac Tablet,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tablet,High,Safe landfill,Yes,Harmful to aquatic life.
Diclofenac XL,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Diclofenac 500mg,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Diclofenac Cap,Medium,Do not flush. Incinerate,No,Harmful to aquatic life.
Diclofenac XL,Medium,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Diclofenac Cap,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac Tablet,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tab,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Diclofenac Capsule,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Diclofenac Capsule,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Diclofenac XL,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Diclofenac SR,High,Eco-bin drop-off,No,Harmful to aquatic life.
Diclofenac 100mg,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Diclofenac 500mg,Medium,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Tablet,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Diclofenac XL,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Diclofenac 250mg,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac XL,Medium,Return to pharmacy,No,Disrupts soil microbes if composted.
Diclofenac 250mg,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Diclofenac 100mg,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Diclofenac Oral,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Diclofenac Tab,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Diclofenac 100mg,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Diclofenac Tablet,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Diclofenac XL,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac Tablet,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Diclofenac Capsule,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Diclofenac Cap,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac Oral,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Diclofenac Capsule,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Diclofenac 250mg,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Diclofenac Tab,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Diclofenac Oral,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Oral,Medium,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac 500mg,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 500mg,Low,Safe landfill,No,Harmful to aquatic life.
Diclofenac SR,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Diclofenac 500mg,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tab,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Diclofenac Oral,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Diclofenac 500mg,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Diclofenac Oral,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Capsule,High,Safe landfill,No,Harmful to aquatic life.
Diclofenac XL,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Diclofenac Cap,Medium,Safe landfill,No,Harmful to aquatic life.
Diclofenac XL,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tablet,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac Tab,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Diclofenac 500mg,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Diclofenac Tablet,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Diclofenac Oral,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tab,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Diclofenac 500mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac SR,Medium,Return to pharmacy,No,Harmful to aquatic life.
Diclofenac 100mg,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 500mg,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Diclofenac 500mg,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tablet,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Diclofenac SR,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Diclofenac XL,Low,Return to pharmacy,No,Harmful to aquatic life.
Diclofenac SR,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac XL,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Diclofenac SR,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 500mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac 500mg,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Diclofenac Oral,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Cap,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Diclofenac Tab,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac SR,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac Capsule,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Diclofenac Tab,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Diclofenac XL,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Diclofenac 500mg,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac SR,Low,Safe landfill,No,Toxic if released into groundwater.
Diclofenac Cap,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Diclofenac Capsule,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac Tablet,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac 100mg,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Tablet,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Diclofenac 500mg,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac XL,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Diclofenac 100mg,High,Safe landfill,No,Harmful to aquatic life.
Diclofenac Cap,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac 100mg,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Diclofenac Tab,High,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Tab,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Diclofenac 100mg,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Diclofenac Cap,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Diclofenac Oral,High,Eco-bin drop-off,No,Toxic if released into groundwater.
Diclofenac 500mg,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Diclofenac Cap,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac Cap,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac Capsule,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Diclofenac Tablet,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Diclofenac 100mg,High,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Diclofenac Tablet,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 100mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Diclofenac SR,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Diclofenac Oral,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Diclofenac 500mg,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Diclofenac Oral,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Diclofenac Oral,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Diclofenac Oral,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Diclofenac SR,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Diclofenac 250mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac Capsule,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Diclofenac Capsule,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac 500mg,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Diclofenac SR,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Diclofenac Oral,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Diclofenac Oral,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Diclofenac XL,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac Cap,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Diclofenac XL,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Diclofenac 100mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac Tab,High,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Diclofenac 500mg,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Diclofenac Tablet,Low,Safe landfill,Yes,Toxic if released into groundwater.
Diclofenac Capsule,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Diclofenac 250mg,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Diclofenac SR,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Diclofenac 100mg,Low,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Diclofenac Cap,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Oral,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac 500mg,Medium,Return to pharmacy,No,Disrupts soil microbes if composted.
Diclofenac XL,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac XL,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Diclofenac SR,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac 500mg,High,Safe landfill,No,Harmful to aquatic life.
Diclofenac Tab,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Diclofenac 100mg,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Diclofenac XL,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Diclofenac 500mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Oral,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac 100mg,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Diclofenac 250mg,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Diclofenac Oral,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Diclofenac 500mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Diclofenac Cap,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Diclofenac Capsule,High,Safe landfill,Yes,Harmful to aquatic life.
Diclofenac XL,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Diclofenac XL,High,Hazardous waste treatment,No,Harmful to aquatic life.
Diclofenac 100mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Diclofenac Tablet,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Diclofenac 100mg,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Diclofenac Oral,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Tab,Low,Return to pharmacy,No,Toxic if released into groundwater.
Diclofenac SR,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac 500mg,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 500mg,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac 500mg,Low,Safe landfill,Yes,Toxic if released into groundwater.
Diclofenac Capsule,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Diclofenac Tab,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Diclofenac 250mg,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Diclofenac 250mg,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Diclofenac Tab,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Diclofenac Tablet,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Diclofenac Tab,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac Tablet,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Diclofenac Cap,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Diclofenac XL,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Diclofenac 100mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin XL,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ciprofloxacin Cap,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ciprofloxacin XL,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Ciprofloxacin Tablet,Medium,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 100mg,High,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 250mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Ciprofloxacin Oral,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ciprofloxacin 500mg,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin SR,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Cap,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin SR,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin Cap,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ciprofloxacin 100mg,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Capsule,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Oral,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Ciprofloxacin SR,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin Tab,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin Oral,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ciprofloxacin 100mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin 250mg,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin 100mg,High,Safe landfill,No,Can enter waterways through improper disposal.
Ciprofloxacin Tablet,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ciprofloxacin Tab,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ciprofloxacin 500mg,Low,Return to pharmacy,No,Harmful to aquatic life.
Ciprofloxacin Tab,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ciprofloxacin Capsule,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tab,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ciprofloxacin Oral,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tab,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ciprofloxacin Capsule,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tab,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Ciprofloxacin SR,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tablet,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Ciprofloxacin SR,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tab,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin Cap,High,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ciprofloxacin Capsule,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin Capsule,Low,Safe landfill,Yes,Toxic if released into groundwater.
Ciprofloxacin XL,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin Tablet,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Oral,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ciprofloxacin 100mg,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Ciprofloxacin 250mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tab,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin SR,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Tablet,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin 100mg,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tablet,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 100mg,High,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Capsule,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin 250mg,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Capsule,High,Hazardous waste treatment,No,Harmful to aquatic life.
Ciprofloxacin XL,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ciprofloxacin SR,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ciprofloxacin 250mg,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Ciprofloxacin 250mg,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Oral,Medium,Safe landfill,Yes,Harmful to aquatic life.
Ciprofloxacin 100mg,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Ciprofloxacin 250mg,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ciprofloxacin 500mg,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tab,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Capsule,High,Hazardous waste treatment,No,Harmful to aquatic life.
Ciprofloxacin 100mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Cap,Medium,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Cap,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tablet,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ciprofloxacin 100mg,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tab,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ciprofloxacin XL,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 250mg,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ciprofloxacin XL,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin SR,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 500mg,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin SR,Medium,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin SR,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin 100mg,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin SR,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ciprofloxacin Tab,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Ciprofloxacin 100mg,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin 250mg,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin SR,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tablet,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin 100mg,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Tablet,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ciprofloxacin Cap,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Ciprofloxacin 250mg,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin SR,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin 250mg,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ciprofloxacin Oral,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Oral,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Ciprofloxacin Capsule,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin XL,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin Tab,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin Cap,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Ciprofloxacin Capsule,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin 250mg,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Ciprofloxacin SR,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ciprofloxacin 250mg,High,Safe landfill,Yes,Harmful to aquatic life.
Ciprofloxacin 100mg,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin XL,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ciprofloxacin XL,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ciprofloxacin 500mg,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ciprofloxacin SR,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ciprofloxacin 250mg,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Oral,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tab,Low,Return to pharmacy,No,Harmful to aquatic life.
Ciprofloxacin 500mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Tablet,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Tablet,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tab,High,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin SR,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Oral,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Cap,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin 250mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ciprofloxacin 100mg,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ciprofloxacin SR,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tablet,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Cap,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Ciprofloxacin 500mg,High,Safe landfill,No,Can enter waterways through improper disposal.
Ciprofloxacin Tab,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin XL,High,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ciprofloxacin 100mg,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ciprofloxacin Oral,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ciprofloxacin 250mg,Medium,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Cap,High,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ciprofloxacin 100mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 250mg,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin 100mg,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Cap,High,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Tab,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ciprofloxacin Tab,Low,Safe landfill,No,Disrupts soil microbes if composted.
Ciprofloxacin Tab,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Capsule,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ciprofloxacin Capsule,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin 500mg,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ciprofloxacin XL,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Ciprofloxacin SR,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin XL,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Ciprofloxacin Cap,High,Return to pharmacy,Yes,Harmful to aquatic life.
Ciprofloxacin Cap,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Cap,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin Oral,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin 500mg,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Ciprofloxacin SR,High,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin 500mg,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Oral,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tablet,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
